=== Start of pet02.log ===
[22:12:25] [Estado.CHK] [CHK] ==============================
[22:12:25] [Estado.CHK] [CHK]    🧪 ESTADO DEL ROBOT
[22:12:25] [Estado.CHK] [CHK] ==============================
[22:12:25] [Estado.CHK] [CHK] PAN cámara:            0.0°
[22:12:25] [Estado.CHK] [CHK] TILT cámara:           0.0°
[22:12:25] [Estado.CHK] [CHK] State wheels:     0
[22:12:25] [Estado.CHK] [CHK] ==============================
[22:12:25] [Estado.IDLE] Inicio del sistema
[22:12:25] [Estado.IDLE] Entrando en IDLE (test_mode=False)
[22:12:25] [Estado.RESET] Entrando en RESET (test_mode=False)
[22:12:26] [Estado.SEARCH] Entrando en SEARCH (test_mode=False)
[22:12:26] [Estado.SEARCH] Baliza detectada (err=200) -> RECENTER
[22:12:26] [Estado.RECENTER] Entrando en RECENTER (test_mode=False)
[22:12:26] [Estado.RECENTER] Corrigiendo chasis: err=168.0 ang=24.0
[22:12:27] [Estado.RECENTER] Corrigiendo chasis: err=110.0 ang=27.0
[22:12:27] [Estado.RECENTER] Frame estable (1/2)
[22:12:27] [Estado.RECENTER] Frame estable (2/2)
[22:12:27] [Estado.RECENTER] Alineación suficiente → TRACK
[22:12:27] [Estado.TRACK] Entrando en TRACK (test_mode=False)
[22:12:27] [Estado.TRACK] Corrigiendo dirección (ángulo=-5.8)
[22:12:27] [Estado.TRACK] Corrigiendo dirección (ángulo=-7.4)
[22:12:28] [Estado.TRACK] Corrigiendo dirección (ángulo=-4.3)
[22:12:28] [Estado.TRACK] Corrigiendo dirección (ángulo=3.1)
[22:12:28] [Estado.TRACK] Corrigiendo dirección (ángulo=3.4)
[22:12:28] [Estado.TRACK] Corrigiendo dirección (ángulo=3.1)
[22:12:28] [Estado.TRACK] Corrigiendo dirección (ángulo=2.6)
[22:12:29] [Estado.TRACK] Corrigiendo dirección (ángulo=-2.6)
[22:12:29] [Estado.TRACK] Corrigiendo dirección (ángulo=-3.1)
[22:12:29] [Estado.TRACK] Corrigiendo dirección (ángulo=-3.4)
[22:12:30] [Estado.TRACK] Corrigiendo dirección (ángulo=-2.9)
[22:12:31] [Estado.TRACK] Corrigiendo dirección (ángulo=2.9)
[22:12:31] [Estado.TRACK] Corrigiendo dirección (ángulo=3.4)
[22:12:31] [Estado.TRACK] Corrigiendo dirección (ángulo=4.1)
[22:12:31] [Estado.TRACK] Corrigiendo dirección (ángulo=4.6)
[22:12:31] [Estado.TRACK] Corrigiendo dirección (ángulo=5.0)
[22:12:31] [Estado.TRACK] 🎯 Objetivo alcanzado (Area=84224) → NEAR
[22:12:32] [Estado.NEAR] Entrando en NEAR (test_mode=False)
[22:12:32] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=112064) → NEAR
[22:12:32] [Estado.NEAR] Gesto de asentimiento
[22:12:35] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=116416) → NEAR
[22:12:35] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=122080) → NEAR
[22:12:35] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=119840) → NEAR
[22:12:35] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:35] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=115920) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=117600) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=116480) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:36] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:37] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=116480) → NEAR
[22:12:37] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:37] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:37] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:38] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:38] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:38] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:38] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:39] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:39] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:39] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
[22:12:40] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:40] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=115360) → NEAR
[22:12:40] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=113712) → NEAR
[22:12:40] [Estado.NEAR] 🎯 Objetivo alcanzado (Area=114816) → NEAR
